index,Name,Platform,RatingOutOf20,Publisher,Year,Classification,Description,Genre
0,007: Quantum of Solace,DS,8/20,Activision,2008.0,+16 ans,"Although we have waited several months, even years, for the return of James Bond, we can say that we are spoiled. After the PS3, Xbox 360, Wii, PS2 and PC versions, here is finally the latest one (well, what about the PSP then?) developed by Vicarious Visions. This time, there's no question of TPS or FPS but rather a sort of mix between an aerial view action game sprinkled with a touch of strategy.",Action
1,007: Quantum of Solace,Wii,11/20,Activision,2008.0,+16 ans,"The exercise of adapting a film into a video game is a perilous exercise. I know it, you know it, the editors know it. This is even more true when it is a myth, which James Bond certainly is. However, when we take a step back, we say to ourselves that Electronic Arts did very well when the franchise still belonged to them, only GoldenEye: In the Service of Evil having proven to be more mediocre. From now on, it is on Activision that we will have to count on to put on the dressed-to-the-point tuxedo and line up the Martinis. And that's good because your next mission will soon begin...",Action
2,007: Quantum of Solace,PS2,11/20,Activision,2008.0,+16 ans,"Even if James Bond did not entirely succeed in his mission on New Gen and PC, the Queen still mandated him to eliminate any hostile presence on PS2. As a result, if the means remain the same, the orientation differs somewhat. So, from FPS we move here to a third-person shooter (TPS) orchestrated by Eurocom. Following in the footsteps of the honorable Good Kisses of Russia, 007 Quantum of Solace takes a leap into the past in order to offer sensations similar to those we felt with the excellent Quitte ou Double.",Action
3,007: Quantum of Solace,PC,12/20,Activision,2008.0,+16 ans,"The exercise of adapting a film into a video game is a perilous exercise. I know it, you know it, the editors know it. This is even more true when it is a myth, which James Bond certainly is. However, when we take a step back, we say to ourselves that Electronic Arts did very well when the franchise still belonged to them, only GoldenEye: In the Service of Evil having proven to be more mediocre. From now on, it is on Activision that we will have to count on to put on the dressed-to-the-point tuxedo and line up the Martinis. And that's good because your next mission will soon begin...",Action
4,007: Quantum of Solace,PS3,12/20,Activision,2008.0,+16 ans,"The exercise of adapting a film into a video game is a perilous exercise. I know it, you know it, the editors know it. This is even more true when it is a myth, which James Bond certainly is. However, when we take a step back, we say to ourselves that Electronic Arts did very well when the franchise still belonged to them, only GoldenEye: In the Service of Evil having proven to be more mediocre. From now on, it is on Activision that we will have to count on to put on the dressed-to-the-point tuxedo and line up the Martinis. And that's good because your next mission will soon begin...",Action
5,1 vs. 100,DS,9/20,DSI Games,2008.0,+3 ans,"Every night you scream in front of your TV, shouting ""The wall! The wall! The wall!"" ? Mindscape has thought of you by adapting your favorite TV game 1 vs 100 for Nintendo DS. There you will find the inimitable Benjamin Castaldi who will ask you a whole series of general knowledge questions. It's up to you to answer better than the 100 candidates who make up the ""wall"" to hope to pocket the jackpot.",Misc
6,100 Classic Games,DS,9/20,Rondomedia,2011.0,+12 ans,"Since the release of the DS in 2005, we have seen a lot of compilations. From stupid Wario-Ware type mini-games to the most in-depth brainstorming, we had it all. With 100 Classic Games, the modest German studio cerasus.media today chooses to fall back on safe values ​​by offering us traditional games that have proven themselves for a long time.",Misc
7,100 Classic Games,DS,14/20,Rondomedia,2011.0,+3 ans,Are you tired of carrying suitcases full of books on every trip? Would you always like to have a library with you to kill time on public transport? Nintendo has obviously listened to you and is now planning to transform its portable console into a real electronic book. The manufacturer has thus brought together on a small DS cartridge around a hundred classic works that have fallen into the public domain.,Misc
8,18 Wheels of Steel: Extreme Trucker,PC,10/20,Rondomedia,2009.0,+3 ans,"Specializing in truck simulations of all kinds, Czech developer SCS Software today brings us a new episode of the 18 Wheels of Steel series on PC. Called Extreme Trucker, it encourages us to take all the risks to make deliveries in particularly inhospitable regions.",Racing
9,24: The Game,PS2,8/20,Sony Computer Entertainment,2006.0,+16 ans,"With boundless global success, it's no surprise that Jack Bauer and his clique are coming to PS2. Assisted by the writers of the series, Sony Cambridge gives us here a title which knows how to show great fidelity to its model, at least in its formatting. As for the game, that's a completely different matter.",Adventure
10,300: March to Glory,PSP,11/20,Warner Bros. Interactive Entertainment,2007.0,+18 ans,"As strange as it may seem, it is exclusively on PSP that the hoplites of the film 300 will have the opportunity to skewer hundreds of thousands of Persians in defiance of all reason. An approach which may seem unfair to those who expected a multi-media adaptation, but which should nevertheless not make too many people envious given the mediocrity of the result obtained.",Action
11,3D Dot Game Heroes,PS3,17/20,SouthPeak Games,2009.0,+7 ans,"Even before its release, everyone who has seen images and videos of 3D Dot Game Heroes already knows that it is a video game UFO. The title is in fact a perfectly accepted homage to the Zelda series, all the way through. If you're ready to step back twenty years, welcome to the retro and colorful world of the Kingdom of Dotnia.",Role-Playing
12,4 Elements,PC,13/20,Mastertronic,2009.0,+3 ans,"In the vein of 7 Wonders or a Puzzle Quest, 4 Elements is an unpretentious puzzle game that it would be a shame to pass over in silence because it contains that little something that makes you attached to it without really knowing why. By combining the magic of a magical universe and the appeal of a good puzzle game, this title manages to stand out from the crowd.",Puzzle
13,Clubhouse Games,DS,12/20,Nintendo,2006.0,+12 ans,"Falling into the same category as a Sega Casino, Texas Hold'em Poker DS or Golden Nugget Casino DS, 42 Jeux Indémodables highlights the staggering number of mini-games it offers. Less inclined to transcribe an atmosphere than the aforementioned titles, it nevertheless strives to take us back to childhood when, all excited, we opened our games case to spend a good afternoon marked by bursts of laughter, juice orange and Nutella gingerbread.",Misc
14,50 Cent: Blood on the Sand,PS3,14/20,THQ,2009.0,+18 ans,"50 Cent is a reckless person. So reckless that he was willing to do it again on consoles, after having initially failed, via a not really convincing Bulletproof. Apparently scalded by the reaction of critics and even by the poor quality of the work of the teams in charge of developing his image, our friend Curtis promises this time an adventure worthy of the name.",Shooter
15,50 Cent: Bulletproof,PS2,9/20,Vivendi Games,2005.0,+18 ans,"After reviewing their lessons and playing Max Payne and company again, Genuine Games releases its 50 Cent Bulletproof into the wild. Sponsored by the famous singer and his entire clique of rappers, this title strives to imitate what has been done over the last ten years in terms of action games. Now the big question we can ask ourselves is whether taking a few good ideas and adding a few hundred “Mother Fuckers” here and there can be enough to make a game a good game.",Action
16,7 Wonders of the Ancient World,PSP,10/20,Mumbo Jumbo,2007.0,+3 ans,"The 7 Wonders of the World are the subject of a puzzle game that some of you may have already had the opportunity to try on PC. More than a year late, 7 Wonders of the Ancient World is finally available on DS, PSP and PS2, for a result that hardly differs from the original title. This clone of Bejeweled also shows a lack of inspiration and renewal which makes it quite anecdotal.",Puzzle
