Name,Platform,RatingOutOf20,Publisher,Year,Classification,Genre
007: quantum of solace,ds,8,activision,2008,+16,action
007: quantum of solace,wii,11,activision,2008,+16,action
007: quantum of solace,ps2,11,activision,2008,+16,action
007: quantum of solace,pc,12,activision,2008,+16,action
007: quantum of solace,ps3,12,activision,2008,+16,action
1 vs. 100,ds,9,dsi games,2008,+3,misc
100 classic games,ds,9,rondomedia,2011,+12,misc
100 classic games,ds,14,rondomedia,2011,+3,misc
18 wheels of steel: extreme trucker,pc,10,rondomedia,2009,+3,racing
24: the game,ps2,8,sony computer entertainment,2006,+16,adventure
300: march to glory,psp,11,warner bros. interactive entertainment,2007,+18,action
3d dot game heroes,ps3,17,southpeak games,2009,+7,role-playing
4 elements,pc,13,mastertronic,2009,+3,puzzle
clubhouse games,ds,12,nintendo,2006,+12,misc
50 cent: blood on the sand,ps3,14,thq,2009,+18,shooter
50 cent: bulletproof,ps2,9,vivendi games,2005,+18,action
7 wonders of the ancient world,psp,10,mumbo jumbo,2007,+3,puzzle
7 wonders of the ancient world,ds,10,funsta,2007,+3,puzzle
a boy and his blob,wii,16,majesco entertainment,2009,+7,platform
a game of thrones: genesis,pc,14,focus home interactive,2011,+12,strategy
the golden compass,ds,11,sega,2007,+12,action
the golden compass,ps2,13,sega,2007,+12,action
the golden compass,ps3,13,sega,2007,+12,action
a new beginning,pc,16,deep silver,2010,+12,adventure
lost in shadow,wii,16,konami digital entertainment,2010,+12,platform
a vampyre story,pc,13,crimson cow,2008,+7,adventure
academy of champions: soccer,wii,9,ubisoft,2009,+3,sports
ace attorney investigations: miles edgeworth,ds,15,capcom,2009,+12,adventure
ace attorney investigations: miles edgeworth,ds,19,capcom,2009,+3,adventure
ace combat: assault horizon,ps3,16,namco bandai games,2011,+16,action
ace combat 04: shattered skies,ps2,14,sony computer entertainment europe,2001,+12,simulation
ace combat zero: the belkan war,ps2,15,namco bandai games,2006,+12,simulation
ace combat 5: the unsung war,ps2,15,sony computer entertainment europe,2004,+12,simulation
ace combat: joint assault,psp,14,namco bandai games,2010,+12,simulation
ace combat x: skies of deception,psp,15,namco bandai games,2006,+12,simulation
magnetica,ds,13,nintendo,2006,+3,puzzle
activision anthology,ps2,9,activision,2002,+3,misc
advance guardian heroes,gba,9,ubisoft,2004,+3,role-playing
advance wars,gba,18,nintendo,2001,+3,strategy
advance wars: dual strike,ds,18,nintendo,2005,+7,strategy
advance wars 2: black hole rising,gba,18,nintendo,2003,+7,strategy
afrika,ps3,18,unknown,2008,unknown,adventure
afro samurai,ps3,15,atari,2009,+18,action
agatha christie: and then there were none,wii,13,the adventure company,2008,+12,adventure
age of conan: rise of the godslayer,pc,16,funcom,2010,+18,role-playing
age of empires: mythologies,ds,16,thq,2008,+12,strategy
age of empires: the age of kings,ds,16,thq,2006,+12,strategy
age of empires ii: the age of kings,pc,17,microsoft game studios,1999,+12,strategy
age of empires iii,pc,14,microsoft game studios,2005,+12,strategy
age of empires iii,pc,15,microsoft game studios,2005,+12,strategy
age of empires iii,pc,16,microsoft game studios,2005,+12,strategy
age of empires online,pc,17,microsoft game studios,2011,+12,strategy
age of mythology,pc,18,microsoft game studios,2002,+12,strategy
age of mythology: the titans,pc,17,microsoft game studios,2003,+12,strategy
aggressive inline,ps2,16,acclaim entertainment,2002,+3,sports
air conflicts: secret wars,pc,12,bitcomposer games,2011,+12,simulation
air conflicts: secret wars,ps3,12,bitcomposer games,2011,+12,simulation
airborne troops: countdown to d-day,ps2,7,playlogic game factory,2005,+12,shooter
airline tycoon,pc,13,interplay,2000,unknown,simulation
akiba's trip: undead & undressed,ps4,8,acquire,2014,+16,action
alan wake,pc,17,nordic games,2012,+16,action
horsez,ds,7,ubisoft,2006,+3,simulation
horsez,ds,6,ubisoft,2006,+3,simulation
alias,ps2,11,acclaim entertainment,2004,+3,action
alice: madness returns,pc,16,electronic arts,2011,+12,adventure
alice: madness returns,ps3,16,electronic arts,2011,+12,adventure
alice in wonderland,wii,14,disney interactive studios,2010,+3,adventure
alice in wonderland,ds,15,disney interactive studios,2010,unknown,adventure
alien: isolation,ps4,16,sega,2014,+18,shooter
alien: isolation,pc,16,sega,2014,+18,shooter
alien: isolation,ps3,16,sega,2014,+18,shooter
alien hominid,ps2,15,zoo digital publishing,2004,+3,shooter
alien syndrome,wii,9,sega,2007,+12,role-playing
alien syndrome,psp,9,sega,2007,+12,role-playing
aliens: colonial marines,ps3,6,sega,2013,+18,shooter
aliens: colonial marines,pc,6,sega,2013,+18,shooter
aliens: infestation,ds,14,sega,2011,+16,action
aliens vs predator,pc,12,sega,2010,+18,shooter
aliens vs predator,ps3,12,sega,2010,+18,shooter
aliens vs predator: requiem,psp,9,vivendi games,2007,+16,action
all-star baseball 2002,ps2,13,acclaim entertainment,2001,+3,sports
all-star baseball 2003,ps2,13,acclaim entertainment,2002,unknown,sports
all-star baseball 2004,ps2,13,acclaim entertainment,2003,+3,sports
alone in the dark,ps2,12,atari,2008,+18,adventure
alone in the dark,wii,11,atari,2008,+18,adventure
alone in the dark,pc,13,atari,2008,+18,adventure
alone in the dark: inferno,ps3,13,atari,2008,+18,adventure
alpha protocol,pc,13,sega,2010,+18,role-playing
alpha protocol,ps3,13,sega,2010,+18,role-playing
alter echo,ps2,11,thq,2003,+12,shooter
altered beast: guardian of the realms,gba,14,thq,2002,unknown,action
alvin and the chipmunks,wii,5,eidos interactive,2007,+3,misc
alvin and the chipmunks,wii,12,eidos interactive,2007,+3,misc
