Name,Platform,Tags
007: Quantum of Solace,DS,"although we have waited several months, even years, for the return of james bond, we can say that we are spoiled. after the ps3, xbox 360, wii, ps2 and pc versions, here is finally the latest one (well, what about the psp then?) developed by vicarious visions. this time, there's no question of tps or fps but rather a sort of mix between an aerial view action game sprinkled with a touch of strategy. action activision"
007: Quantum of Solace,Wii,"the exercise of adapting a film into a video game is a perilous exercise. i know it, you know it, the editors know it. this is even more true when it is a myth, which james bond certainly is. however, when we take a step back, we say to ourselves that electronic arts did very well when the franchise still belonged to them, only goldeneye: in the service of evil having proven to be more mediocre. from now on, it is on activision that we will have to count on to put on the dressed-to-the-point tuxedo and line up the martinis. and that's good because your next mission will soon begin... action activision"
007: Quantum of Solace,PS2,"even if james bond did not entirely succeed in his mission on new gen and pc, the queen still mandated him to eliminate any hostile presence on ps2. as a result, if the means remain the same, the orientation differs somewhat. so, from fps we move here to a third-person shooter (tps) orchestrated by eurocom. following in the footsteps of the honorable good kisses of russia, 007 quantum of solace takes a leap into the past in order to offer sensations similar to those we felt with the excellent quitte ou double. action activision"
007: Quantum of Solace,PC,"the exercise of adapting a film into a video game is a perilous exercise. i know it, you know it, the editors know it. this is even more true when it is a myth, which james bond certainly is. however, when we take a step back, we say to ourselves that electronic arts did very well when the franchise still belonged to them, only goldeneye: in the service of evil having proven to be more mediocre. from now on, it is on activision that we will have to count on to put on the dressed-to-the-point tuxedo and line up the martinis. and that's good because your next mission will soon begin... action activision"
007: Quantum of Solace,PS3,"the exercise of adapting a film into a video game is a perilous exercise. i know it, you know it, the editors know it. this is even more true when it is a myth, which james bond certainly is. however, when we take a step back, we say to ourselves that electronic arts did very well when the franchise still belonged to them, only goldeneye: in the service of evil having proven to be more mediocre. from now on, it is on activision that we will have to count on to put on the dressed-to-the-point tuxedo and line up the martinis. and that's good because your next mission will soon begin... action activision"
1 vs. 100,DS,"every night you scream in front of your tv, shouting ""the wall! the wall! the wall!"" ? mindscape has thought of you by adapting your favorite tv game 1 vs 100 for nintendo ds. there you will find the inimitable benjamin castaldi who will ask you a whole series of general knowledge questions. it's up to you to answer better than the 100 candidates who make up the ""wall"" to hope to pocket the jackpot. misc dsi games"
100 Classic Games,DS,"since the release of the ds in 2005, we have seen a lot of compilations. from stupid wario-ware type mini-games to the most in-depth brainstorming, we had it all. with 100 classic games, the modest german studio cerasus.media today chooses to fall back on safe values ​​by offering us traditional games that have proven themselves for a long time. misc rondomedia"
100 Classic Games,DS,are you tired of carrying suitcases full of books on every trip? would you always like to have a library with you to kill time on public transport? nintendo has obviously listened to you and is now planning to transform its portable console into a real electronic book. the manufacturer has thus brought together on a small ds cartridge around a hundred classic works that have fallen into the public domain. misc rondomedia
18 Wheels of Steel: Extreme Trucker,PC,"specializing in truck simulations of all kinds, czech developer scs software today brings us a new episode of the 18 wheels of steel series on pc. called extreme trucker, it encourages us to take all the risks to make deliveries in particularly inhospitable regions. racing rondomedia"
24: The Game,PS2,"with boundless global success, it's no surprise that jack bauer and his clique are coming to ps2. assisted by the writers of the series, sony cambridge gives us here a title which knows how to show great fidelity to its model, at least in its formatting. as for the game, that's a completely different matter. adventure sony computer entertainment"
300: March to Glory,PSP,"as strange as it may seem, it is exclusively on psp that the hoplites of the film 300 will have the opportunity to skewer hundreds of thousands of persians in defiance of all reason. an approach which may seem unfair to those who expected a multi-media adaptation, but which should nevertheless not make too many people envious given the mediocrity of the result obtained. action warner bros. interactive entertainment"
3D Dot Game Heroes,PS3,"even before its release, everyone who has seen images and videos of 3d dot game heroes already knows that it is a video game ufo. the title is in fact a perfectly accepted homage to the zelda series, all the way through. if you're ready to step back twenty years, welcome to the retro and colorful world of the kingdom of dotnia. role-playing southpeak games"
4 Elements,PC,"in the vein of 7 wonders or a puzzle quest, 4 elements is an unpretentious puzzle game that it would be a shame to pass over in silence because it contains that little something that makes you attached to it without really knowing why. by combining the magic of a magical universe and the appeal of a good puzzle game, this title manages to stand out from the crowd. puzzle mastertronic"
Clubhouse Games,DS,"falling into the same category as a sega casino, texas hold'em poker ds or golden nugget casino ds, 42 jeux indémodables highlights the staggering number of mini-games it offers. less inclined to transcribe an atmosphere than the aforementioned titles, it nevertheless strives to take us back to childhood when, all excited, we opened our games case to spend a good afternoon marked by bursts of laughter, juice orange and nutella gingerbread. misc nintendo"
50 Cent: Blood on the Sand,PS3,"50 cent is a reckless person. so reckless that he was willing to do it again on consoles, after having initially failed, via a not really convincing bulletproof. apparently scalded by the reaction of critics and even by the poor quality of the work of the teams in charge of developing his image, our friend curtis promises this time an adventure worthy of the name. shooter thq"
50 Cent: Bulletproof,PS2,"after reviewing their lessons and playing max payne and company again, genuine games releases its 50 cent bulletproof into the wild. sponsored by the famous singer and his entire clique of rappers, this title strives to imitate what has been done over the last ten years in terms of action games. now the big question we can ask ourselves is whether taking a few good ideas and adding a few hundred “mother fuckers” here and there can be enough to make a game a good game. action vivendi games"
7 Wonders of the Ancient World,PSP,"the 7 wonders of the world are the subject of a puzzle game that some of you may have already had the opportunity to try on pc. more than a year late, 7 wonders of the ancient world is finally available on ds, psp and ps2, for a result that hardly differs from the original title. this clone of bejeweled also shows a lack of inspiration and renewal which makes it quite anecdotal. puzzle mumbo jumbo"
7 Wonders of the Ancient World,DS,"the 7 wonders of the world are the subject of a puzzle game that some of you may have already had the opportunity to try on pc. more than a year late, 7 wonders of the ancient world is finally available on ds, psp and ps2, for a result that hardly differs from the original title. this clone of bejeweled also shows a lack of inspiration and renewal which makes it quite anecdotal. puzzle funsta"
A Boy and His Blob,Wii,"a boy and his blob may not mean anything to young players. for the oldest, however, the simple mention of the name will blow a gentle wind of nostalgia into their memories. they will undoubtedly remember the first part released long ago on nes or perhaps its sequel on gameboy. after 19 years of silence and two failed resurrection attempts (on gba then on ds), it is high time to find our boy and his famous blob. platform majesco entertainment"
A Game of Thrones: Genesis,PC,"born in 1996 from the pen of george r. r. martin, the game of thrones saga (a song of ice and fire) has fascinated millions of readers around the world for 15 years. already available in all flavors (tv series, comics, board games, role-playing or card games), here it is today adapted by cyanide montreal as part of an rts that stands out from the rest of the production. strategy focus home interactive"
The Golden Compass,DS,"the now unmissable fantastic cinematic blockbuster of this end of year is called at the crossroads of worlds: the golden compass, and as usual is aimed at a young audience. its video game version therefore had to not miss the ds meeting. action sega"
The Golden Compass,PS2,"a few days before the release of new line cinema's latest blockbuster, sega is offering us the opportunity to play the mischievous lyra in the official game of the film. accompanied by pan and iroek, let's help her unravel the mysteries of the great outdoors of the northern kingdom. action sega"
The Golden Compass,PS3,"a few days before the release of new line cinema's latest blockbuster, sega is offering us the opportunity to play the mischievous lyra in the official game of the film. accompanied by pan and iorek, let's help her unravel the mysteries of the great outdoors of the northern kingdom. action sega"
