Name,Platform,RatingOutOf20,Publisher,Year,Classification,Genre,Classification_format
0,0,13,0,0,2,0,12
1,1,15,1,1,2,1,12
2,1,16,2,2,2,2,12
3,1,16,3,2,2,3,12
4,2,14,4,3,2,4,12
5,1,13,5,3,2,5,12
6,1,15,5,4,2,5,12
7,0,10,6,5,2,0,12
8,1,16,5,6,2,5,12
9,1,15,7,7,2,5,12
10,1,17,8,4,2,4,12
11,2,10,9,8,2,6,12
11,1,10,9,8,2,6,12
12,0,10,10,0,2,0,12
13,0,10,11,0,2,1,12
14,3,16,11,3,2,1,12
15,2,9,11,9,2,1,12
16,2,11,12,0,2,4,12
17,1,18,1,5,2,1,12
18,1,16,13,0,2,6,12
19,3,15,3,2,2,7,12
20,4,15,14,3,2,4,12
21,0,16,15,9,2,8,12
22,0,16,15,3,2,8,12
23,1,10,16,9,2,5,12
24,4,11,14,4,2,6,12
25,4,16,17,10,2,9,12
26,3,11,4,0,2,3,12
27,1,9,18,3,2,5,12
28,3,14,15,8,2,3,12
29,2,10,12,8,2,4,12
30,0,5,3,9,2,6,12
31,1,17,10,2,2,5,12
32,1,14,4,8,2,8,12
26,0,10,4,0,2,3,12
33,3,12,5,9,2,6,12
34,4,15,14,10,2,4,12
35,4,13,3,10,2,5,12
36,1,17,3,11,2,5,12
37,3,7,5,2,2,6,12
37,0,11,5,2,2,6,12
38,5,18,15,12,2,9,12
39,2,16,19,3,2,0,12
40,2,8,19,5,2,0,12
41,2,12,4,3,2,6,12
42,4,10,20,11,2,6,12
43,0,4,21,0,2,6,12
26,1,9,4,0,2,3,12
44,4,14,2,11,2,3,12
45,4,16,22,10,2,9,12
46,6,7,23,10,2,2,12
46,4,16,16,12,2,2,12
47,3,12,24,5,2,6,12
48,1,16,25,13,2,6,12
48,2,16,25,13,2,6,12
49,3,13,25,9,2,1,12
50,0,12,25,2,2,6,12
51,4,15,26,6,2,10,12
52,2,14,19,5,2,0,12
53,2,13,27,5,2,6,12
50,1,13,25,2,2,6,12
50,2,13,25,2,2,6,12
54,6,14,28,10,2,9,12
55,4,14,19,12,2,4,12
56,4,14,17,11,2,8,12
50,3,13,25,2,2,6,12
57,4,8,3,2,2,6,12
57,0,6,3,2,2,6,12
58,7,10,28,9,2,2,12
59,4,14,28,3,2,2,12
59,2,14,28,3,2,2,12
59,3,11,28,3,2,2,12
59,7,14,28,3,2,2,12
59,1,14,28,3,2,2,12
60,4,12,28,4,2,2,12
61,1,14,10,5,2,4,12
62,7,12,29,7,2,10,12
63,7,7,25,2,2,6,12
64,2,12,25,5,2,6,12
65,4,12,17,7,2,6,12
64,8,11,25,5,2,6,12
64,0,9,25,5,2,6,12
66,4,19,30,11,2,10,12
67,1,16,8,9,2,4,12
68,8,17,31,13,2,6,12
69,1,16,8,9,2,4,12
70,7,18,31,8,2,4,12
71,4,15,19,10,2,4,12
72,7,13,11,3,2,2,12
73,4,14,14,7,2,6,12
74,4,13,29,7,2,4,12
75,1,15,32,0,2,4,12
76,4,10,17,7,2,6,12
77,5,17,33,14,2,9,12
78,2,13,12,2,2,4,12
79,3,16,15,9,2,0,12
80,4,13,21,7,2,10,12
81,7,14,19,4,2,4,12
82,4,15,14,7,2,5,12
83,4,14,10,12,2,5,12
84,7,15,34,9,2,10,12
85,3,8,13,2,2,4,12
86,6,15,35,10,2,6,12
87,4,14,28,11,2,6,12
64,3,6,25,5,2,6,12
88,3,6,36,8,2,0,12
89,1,18,8,13,2,6,12
90,2,14,30,1,2,10,12
91,2,12,37,5,2,6,12
91,3,8,37,5,2,6,12
92,4,13,19,6,2,9,12
93,2,14,11,0,2,0,12
94,7,17,31,9,2,4,12
95,3,16,31,2,2,4,12
96,1,13,4,3,2,5,12
97,4,12,4,12,2,4,12
98,4,10,38,7,2,9,12
99,6,17,17,11,2,1,12
100,4,16,17,4,2,6,12
101,1,15,16,4,2,9,12
102,6,17,17,10,2,1,12
103,4,17,17,11,2,6,12
104,4,11,11,7,2,6,12
105,1,14,39,11,2,4,12
106,1,16,40,13,2,6,12
107,1,16,4,8,2,5,12
108,2,10,19,8,2,9,12
109,4,19,19,4,2,6,12
110,3,18,17,2,2,1,12
111,3,18,17,9,2,1,12
112,7,16,17,3,2,1,12
113,4,10,17,7,2,3,12
114,0,10,17,2,2,10,12
115,6,10,25,7,2,6,12
116,4,6,4,7,2,2,12
115,4,12,25,7,2,6,12
117,3,3,41,3,2,0,12
118,4,13,14,7,2,6,12
119,4,14,14,9,2,6,12
120,7,10,14,7,2,6,12
121,0,11,15,0,2,6,12
122,1,13,5,7,2,5,12
123,4,12,21,7,2,6,12
124,3,14,42,2,2,3,12
125,0,13,17,0,2,3,12
126,4,16,16,9,2,6,12
127,4,12,29,4,2,0,12
128,4,10,29,7,2,10,12
129,8,12,11,5,2,6,12
129,2,11,11,5,2,6,12
130,3,9,43,13,2,3,12
130,0,13,43,13,2,3,12
130,2,12,43,13,2,3,12
130,1,13,43,13,2,3,12
131,4,17,29,7,2,6,12
124,0,15,44,2,2,3,12
124,1,14,45,9,2,3,12
132,3,16,42,0,2,3,12
132,0,16,42,0,2,3,12
132,1,16,42,0,2,3,12
133,4,15,46,11,2,8,12
134,8,15,12,15,2,4,12
135,4,16,47,11,2,4,12
136,2,17,2,2,2,4,12
137,4,10,37,8,2,6,12
138,3,5,48,3,2,10,12
139,3,8,10,0,2,6,12
140,4,9,49,10,2,6,12
141,3,11,50,3,2,6,12
142,7,12,50,2,2,6,12
142,0,10,50,3,2,6,12
143,8,14,51,13,2,6,12
144,7,9,17,4,2,9,12
145,7,10,17,3,2,9,12
138,0,7,48,3,2,10,12
146,0,14,16,8,2,5,12
146,7,14,16,3,2,5,12
147,2,15,52,3,2,2,12
147,1,15,52,3,2,2,12
148,6,13,2,4,2,4,12
149,1,16,53,2,2,3,12
150,3,10,28,8,2,6,12
151,4,17,30,12,2,10,12
150,0,7,28,8,2,6,12
152,2,15,54,8,2,0,12
91,0,9,37,5,2,6,12
91,8,8,37,5,2,6,12
137,3,9,37,8,2,6,12
137,0,12,37,8,2,6,12
137,2,7,37,8,2,6,12
153,2,17,29,5,2,10,12
154,1,17,24,5,2,3,12
155,7,13,25,4,2,4,12
156,3,12,55,2,2,3,12
157,4,7,33,6,2,10,12
158,4,14,19,10,2,1,12
159,0,15,30,2,2,8,12
160,4,14,3,6,2,4,12
161,4,13,2,10,2,4,12
162,4,17,56,4,2,4,12
163,4,17,56,7,2,4,12
164,4,14,29,11,2,6,12
165,5,17,33,12,2,9,12
166,2,9,21,5,2,0,12
167,4,10,2,10,2,6,12
168,4,16,5,10,2,3,12
169,1,14,57,2,2,4,12
170,6,14,10,7,2,4,12
171,9,15,29,15,2,10,12
172,4,8,33,7,2,10,12
173,9,18,4,16,2,4,12
174,3,14,15,9,2,4,12
175,3,8,58,0,2,3,12
176,10,19,59,17,2,4,12
176,3,19,31,2,2,4,12
152,0,15,54,8,2,0,12
177,7,9,25,3,2,1,12
177,2,11,25,3,2,1,12
177,3,13,25,3,2,1,12
178,3,11,4,9,2,6,12
179,1,11,46,4,2,9,12
180,2,10,10,0,2,6,12
180,1,10,10,0,2,6,12
180,4,10,10,0,2,6,12
181,4,15,3,12,2,9,12
182,3,14,30,8,2,6,12
183,0,11,30,0,2,6,12
184,8,16,30,18,2,4,12
180,0,10,10,0,2,6,12
185,2,13,30,0,2,10,12
186,2,13,30,8,2,10,12
187,3,14,30,0,2,4,12
188,2,10,30,16,2,10,12
180,3,7,10,0,2,6,12
180,7,7,10,0,2,6,12
189,2,11,30,3,2,9,12
190,4,14,30,11,2,9,12
191,0,16,2,9,2,10,12
191,4,16,2,9,2,10,12
192,0,16,2,3,2,10,12
192,4,16,2,3,2,10,12
193,2,11,2,2,2,10,12
194,7,12,60,0,2,8,12
195,8,14,30,15,2,10,12
178,7,13,4,9,2,6,12
196,2,10,46,8,2,6,12
197,0,13,52,3,2,6,12
198,0,12,61,2,2,4,12
199,0,12,16,0,2,11,12
199,3,14,16,0,2,11,12
200,2,17,4,2,2,5,12
200,3,14,4,2,2,5,12
200,7,13,4,2,2,5,12
200,1,15,4,0,2,5,12
197,7,11,52,3,2,6,12
196,0,11,46,8,2,6,12
201,1,16,52,9,2,2,12
201,4,16,52,9,2,2,12
202,4,15,25,2,2,0,12
203,4,16,11,10,2,6,12
202,2,16,25,2,2,0,12
196,3,9,46,8,2,6,12
196,1,10,46,8,2,6,12
204,1,18,62,19,2,9,12
204,6,17,25,6,2,9,12
205,1,18,28,9,2,4,12
206,4,12,52,11,2,2,12
207,3,11,3,2,2,7,12
208,3,6,0,8,2,3,12
209,3,13,21,3,2,10,12
210,2,10,12,13,2,4,12
211,4,10,30,2,2,10,12
212,0,18,25,0,2,0,12
213,4,15,28,6,2,6,12
214,4,13,63,12,2,10,12
215,4,15,28,12,2,6,12
216,7,12,64,0,2,6,12
217,1,16,4,5,2,2,12
217,2,16,4,5,2,2,12
216,2,12,14,0,2,6,12
218,2,12,14,1,2,6,12
219,2,14,14,8,2,6,12
220,10,18,29,19,2,10,12
221,4,15,19,10,2,8,12
222,2,18,29,0,2,10,12
223,4,12,65,7,2,9,12
224,3,12,66,3,2,0,12
225,2,17,29,13,2,10,12
226,7,14,16,9,2,4,12
227,1,12,67,4,2,4,12
228,4,10,30,7,2,2,12
212,2,18,25,0,2,0,12
229,1,14,68,5,2,5,12
230,7,11,2,3,2,5,12
231,4,16,14,10,2,5,12
232,4,16,14,11,2,5,12
233,4,13,2,7,2,2,12
233,6,4,2,4,2,2,12
234,4,11,69,4,2,6,12
